"x","y","X","N","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An","Labels","Zone"
450.5,192.5,153951,4,5158,3752,3,48,16,39,8,592,6621,52,76.586469732122,"SK394AZone2a",3
450.5,193.5,153451,4,5218,3982,4,46,25,43,5,477,6397,39,81.2463972041536,"SK394AZone2a",3
450.5,194.5,152951,4,5098,3895,9,33,18,42,10,470,6471,45,79.4837289864721,"SK394AZone2a",3
450.5,195.5,152451,4,5053,3975,7,41,15,55,7,511,6295,51,81.10457332457,"SK394AZone2a",3
450.5,196.5,151951,4,5132,3858,5,38,20,40,12,450,6474,38,78.7340884801018,"SK394AZone2a",3
450.5,197.5,151451,4,5222,4010,3,50,13,39,14,414,6154,52,81.8136927224879,"SK394AZone2a",3
450.5,199.5,150451,4,4910,3654,3,39,24,53,10,664,6606,46,74.600935417952,"SK394AZone2a",3
450.5,200.5,149951,4,5253,3996,6,41,13,39,8,484,6352,37,81.5300449633208,"SK394AZone2a",3
450.5,201.5,149451,4,5201,3990,5,36,20,48,10,492,6398,41,81.4084816379634,"SK394AZone2a",3
450.5,202.5,148951,4,5260,4095,4,48,20,48,10,468,6451,46,83.535839831717,"SK394AZone2a",3
450.5,203.5,148451,4,5037,3864,4,45,25,37,8,467,6284,40,78.8556518054591,"SK394AZone2a",3
450.5,204.5,147951,4,5120,4071,14,50,22,34,7,446,6382,48,83.0495865302876,"SK394AZone2a",3
450.5,205.5,147451,4,5158,3951,7,40,18,33,7,462,6380,48,80.6183200231407,"SK394AZone2a",3
450.5,206.5,146951,4,5202,3979,8,43,16,43,13,462,6478,53,81.185615541475,"SK394AZone2a",3
450.5,247.5,126451,4,5364,3945,9,51,11,39,8,459,6320,48,80.4967566977833,"SK394AZone4b",4
450.5,248.5,125951,4,5328,3954,4,35,22,47,6,490,6392,41,80.6791016858193,"SK394AZone4b",4
450.5,251.5,124451,4,4982,4010,5,60,29,49,9,406,6208,38,81.8136927224879,"SK394AZone4a",3
