"","x","y","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"71",70.5,499.5,10531,3321,22,26,26,96,25,1246,7391,44,54
"72",71.5,499.5,10410,3157,20,25,36,112,23,1295,7555,32,51
"73",72.5,499.5,10697,3481,32,15,37,93,24,1199,7437,32,56
"74",73.5,499.5,10806,3321,21,20,23,86,26,1230,7450,43,54
"75",74.5,499.5,10889,3373,24,20,34,96,25,1237,7408,40,55
"76",75.5,499.5,10701,3239,37,22,26,108,24,1203,7491,35,53
"77",76.5,499.5,10967,3409,30,26,36,116,29,1200,7158,30,55
"78",77.5,499.5,11202,3655,23,34,33,98,22,1187,7355,28,59
"79",78.5,499.5,11090,3545,26,19,26,97,24,1096,7318,40,58
"80",79.5,499.5,10744,3438,33,16,39,100,22,1203,7475,28,56
"81",80.5,499.5,10871,3755,27,28,26,108,27,1093,7298,37,61
"82",81.5,499.5,11372,3977,30,30,28,114,20,950,7213,32,64
"83",82.5,499.5,12164,4588,29,29,25,109,18,674,6511,49,74
"84",83.5,499.5,11717,4293,33,16,42,104,18,733,6854,33,69
"86",85.5,499.5,11441,4137,24,25,22,105,21,945,7100,26,67
"88",87.5,499.5,10369,3997,20,25,22,97,20,647,5898,41,65
"102",101.5,499.5,11400,4318,40,16,27,109,34,614,6309,40,70
"103",102.5,499.5,11880,4355,25,28,21,105,27,776,6802,36,70
"104",103.5,499.5,11298,3962,23,24,13,109,15,950,7011,28,64
"105",104.5,499.5,9766,3576,22,28,34,75,21,1049,6818,45,58
"106",105.5,499.5,10166,3389,27,21,23,94,22,1164,6879,20,55
"107",106.5,499.5,9273,2878,28,19,46,83,18,1056,6089,28,47
"144",143.5,499.5,10559,3543,30,26,23,112,25,1055,6997,41,57
"145",144.5,499.5,10764,3562,32,21,32,82,20,1219,7232,32,58
"146",145.5,499.5,10724,3511,30,20,29,98,22,1179,7257,29,57
"147",146.5,499.5,10947,3356,29,20,29,90,25,1201,7473,25,54
"148",147.5,499.5,10866,3279,27,28,28,86,21,1219,7343,36,53
"149",148.5,499.5,10925,3362,26,25,28,110,26,1251,7479,31,55
"150",149.5,499.5,10668,3326,23,33,21,93,20,1320,7419,35,54
"151",150.5,499.5,10687,3247,43,25,29,106,17,1276,7280,36,53
"152",151.5,499.5,10717,3371,24,17,22,88,18,1299,7323,41,55
"153",152.5,499.5,10688,3360,26,25,37,107,23,1245,7498,29,55
"154",153.5,499.5,10902,3519,29,16,32,98,27,1122,7367,30,57
"155",154.5,499.5,10960,3592,37,12,29,83,31,1173,7166,26,58
"156",155.5,499.5,10936,3563,16,28,35,100,18,1034,6859,29,58
"164",163.5,499.5,10684,3266,33,28,23,95,21,1237,7309,37,53
"165",164.5,499.5,10603,3389,38,22,31,99,24,1235,7290,46,55
"166",165.5,499.5,10623,3320,25,28,18,90,25,1283,7235,43,54
"167",166.5,499.5,10531,3300,29,13,27,102,27,1339,7490,28,54
"168",167.5,499.5,10690,3412,35,28,31,100,20,1250,7292,34,55
"169",168.5,499.5,10943,3494,34,26,20,118,25,1150,7360,28,57
"171",170.5,499.5,10010,3127,30,27,32,84,23,1040,6243,28,51
"172",171.5,499.5,10679,3271,33,24,25,98,16,1280,7443,34,53
"173",172.5,499.5,10463,3301,32,11,26,98,24,1031,6617,41,54
"174",173.5,499.5,10671,3273,33,19,40,95,29,1211,7241,33,53
"175",174.5,499.5,10256,3330,21,14,28,106,22,1183,7362,38,54
"219",218.5,499.5,10784,3429,24,21,28,107,25,1129,7259,32,56
"220",219.5,499.5,10901,3362,25,17,36,99,25,1219,7250,32,55
"221",220.5,499.5,10212,3302,26,24,22,120,17,1182,7375,32,54
"222",221.5,499.5,11149,3595,27,28,33,103,18,1171,7192,35,58
"225",224.5,499.5,10298,3313,38,28,35,104,19,1159,7049,45,54
