"","x","y","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"226",225.5,499.5,10847,3340,30,20,30,125,24,1245,7393,33,54
"227",226.5,499.5,10146,3280,31,22,28,87,22,1166,7045,31,53
"293",292.5,499.5,10680,3526,25,17,38,92,26,1129,7201,39,57
"294",293.5,499.5,11536,4158,26,26,30,105,22,865,6882,23,67
"295",294.5,499.5,11393,4140,28,14,26,86,27,956,6807,32,67
"296",295.5,499.5,10425,3662,28,20,28,73,24,945,6592,33,59
"328",327.5,499.5,11384,4212,35,18,31,94,23,910,6919,26,68
"571",70.5,498.5,10846,3336,31,24,33,82,24,1288,7388,45,54
"572",71.5,498.5,10699,3203,37,14,34,100,20,1352,7550,31,52
"573",72.5,498.5,10809,3272,27,21,21,80,18,1315,7382,27,53
"574",73.5,498.5,10811,3254,33,31,31,115,25,1319,7590,28,53
"575",74.5,498.5,10871,3346,32,26,34,105,19,1244,7387,39,54
"576",75.5,498.5,10800,3381,27,26,29,98,25,1291,7487,34,55
"577",76.5,498.5,10817,3366,28,21,40,84,26,1259,7510,35,55
"578",77.5,498.5,10739,3535,42,19,25,97,18,1185,7344,32,57
"579",78.5,498.5,11018,3552,28,26,35,102,27,1104,7318,38,58
"580",79.5,498.5,10896,3440,28,19,24,109,26,1185,7363,36,56
"581",80.5,498.5,10664,3620,32,25,32,90,20,1111,7270,26,59
"582",81.5,498.5,10104,3491,31,52,25,149,19,901,7130,26,57
"583",82.5,498.5,11593,4250,28,23,33,113,17,862,6932,40,69
"584",83.5,498.5,12064,4615,29,31,21,100,26,638,6410,45,75
"585",84.5,498.5,11923,4521,35,24,25,105,18,664,6551,30,73
"587",86.5,498.5,9742,3393,26,20,51,82,17,484,5087,26,55
"600",99.5,498.5,11316,4142,36,26,52,99,28,745,6996,35,67
"601",100.5,498.5,11711,4224,32,34,26,103,24,853,6843,33,68
"602",101.5,498.5,11088,3820,28,16,24,86,29,1019,7083,35,62
"603",102.5,498.5,10450,3426,37,22,23,106,26,1083,7010,27,56
"604",103.5,498.5,10512,3376,23,16,24,114,30,1059,7304,34,55
"605",104.5,498.5,10900,3506,25,25,46,82,21,1132,7108,31,57
"606",105.5,498.5,10378,3308,22,28,23,101,33,1187,7511,40,54
"607",106.5,498.5,10680,3323,31,24,30,95,19,1166,7103,35,54
"645",144.5,498.5,11316,3752,22,25,24,100,21,1097,7269,39,61
"646",145.5,498.5,11236,3728,34,16,24,98,23,1052,7191,37,60
"647",146.5,498.5,10854,3366,31,27,24,116,31,1217,7239,29,55
"648",147.5,498.5,10645,3475,32,22,27,103,25,1206,7415,40,56
"649",148.5,498.5,10797,3571,26,27,25,104,28,1125,7338,32,58
"650",149.5,498.5,10700,3454,25,32,24,89,19,1169,7337,45,56
"651",150.5,498.5,10940,3433,29,28,35,96,28,1284,7239,33,56
"652",151.5,498.5,10821,3385,33,31,25,95,19,1251,7476,37,55
"653",152.5,498.5,10890,3373,32,24,31,112,23,1246,7395,21,55
"654",153.5,498.5,11003,3692,28,26,34,110,24,1102,7237,27,60
"655",154.5,498.5,10932,3658,27,23,24,110,16,1079,7202,36,59
"656",155.5,498.5,10378,3396,25,28,38,92,24,982,6910,41,55
"665",164.5,498.5,9788,3042,22,45,31,149,19,1069,7148,33,49
"666",165.5,498.5,10560,3271,36,23,28,83,21,1338,7588,34,53
"667",166.5,498.5,10611,3187,31,20,37,105,25,1260,7542,40,52
"668",167.5,498.5,10485,3424,39,21,23,104,28,1227,7401,35,56
"669",168.5,498.5,10777,3372,17,29,34,112,18,1229,7290,28,55
"672",171.5,498.5,10420,3225,23,23,34,85,31,1211,7310,26,52
"673",172.5,498.5,10314,3183,23,28,43,95,21,1179,7481,34,52
"719",218.5,498.5,10690,3446,25,20,35,90,22,1207,7269,29,56
"720",219.5,498.5,10901,3435,27,22,36,111,16,1190,7261,37,56
"721",220.5,498.5,10087,3249,30,26,26,99,27,1122,6957,34,53
"722",221.5,498.5,10707,3465,34,27,21,91,20,1154,7187,24,56
"725",224.5,498.5,10669,3510,27,27,31,92,22,1170,7226,41,57
"726",225.5,498.5,10668,3494,26,24,32,102,24,1172,7349,40,57
"794",293.5,498.5,11006,3736,26,21,28,100,20,1110,7205,27,61
"795",294.5,498.5,11431,4203,32,25,21,100,31,946,6807,38,68
"836",335.5,498.5,12094,4981,36,27,17,122,22,591,6558,37,81
"837",336.5,498.5,11868,4498,24,26,42,100,20,633,6796,29,73
"838",337.5,498.5,11689,4421,25,14,33,95,32,664,6534,43,72
"848",347.5,498.5,10732,3450,28,16,35,90,17,1293,7292,26,56
"849",348.5,498.5,10742,3360,23,22,33,94,20,1090,7025,32,55
"850",349.5,498.5,10699,3351,18,20,33,95,21,1318,7511,39,54
"851",350.5,498.5,10829,3371,29,30,32,100,24,1298,7421,46,55
"1071",70.5,497.5,10773,3409,30,17,29,110,20,1204,7313,36,55
"1072",71.5,497.5,10621,3221,25,18,32,110,25,1390,7420,37,52
"1073",72.5,497.5,10823,3382,23,26,41,110,16,1269,7255,36,55
"1074",73.5,497.5,10610,3279,24,21,35,105,25,1369,7426,47,53
"1075",74.5,497.5,10823,3184,37,14,30,104,19,1278,7391,38,52
"1076",75.5,497.5,10841,3388,34,28,27,83,23,1166,7418,40,55
"1077",76.5,497.5,10681,3299,24,19,39,90,22,1299,7495,44,54
"1078",77.5,497.5,10822,3419,41,22,38,104,16,1262,7326,27,55
"1079",78.5,497.5,10831,3592,27,16,36,104,18,1127,7385,43,58
"1080",79.5,497.5,10627,3502,36,17,29,96,24,1203,7297,38,57
"1081",80.5,497.5,10924,3614,24,25,26,82,26,1205,7353,33,59
"1082",81.5,497.5,10905,3553,31,30,40,95,22,1065,7179,42,58
"1083",82.5,497.5,11342,3960,14,25,23,119,24,969,7009,35,64
"1084",83.5,497.5,11745,4234,34,27,23,102,12,796,6786,39,69
"1085",84.5,497.5,11737,4371,29,26,25,108,20,732,6564,29,71
"1086",85.5,497.5,11213,3883,23,19,24,96,22,925,7076,31,63
"1097",96.5,497.5,10590,3909,27,21,17,97,25,665,6266,38,63
"1099",98.5,497.5,11122,3793,27,27,29,90,25,926,6978,27,61
"1100",99.5,497.5,10770,3503,30,24,26,117,28,1001,7027,34,57
"1101",100.5,497.5,10708,3572,29,24,25,107,17,1091,6975,25,58
"1102",101.5,497.5,10623,3374,33,23,31,82,17,1009,6692,33,55
"1103",102.5,497.5,10803,3409,24,22,18,94,24,1197,7171,50,55
"1104",103.5,497.5,10796,3484,33,19,26,101,27,1170,7244,37,57
"1105",104.5,497.5,11013,3575,28,23,27,106,22,1126,7112,37,58
"1107",106.5,497.5,9564,3160,32,20,20,99,27,1178,7208,29,51
"1108",107.5,497.5,10230,3221,28,24,40,92,26,1177,7247,40,52
"1145",144.5,497.5,10877,3452,36,19,27,87,27,1193,7398,30,56
"1146",145.5,497.5,11130,3622,30,25,34,97,15,1127,7317,42,59
"1147",146.5,497.5,10970,3677,22,21,18,111,30,1130,7167,40,60
"1148",147.5,497.5,10861,3493,31,25,25,100,21,1168,7197,34,57
"1149",148.5,497.5,10843,3529,33,24,22,103,23,1185,7193,29,57
"1150",149.5,497.5,10956,3663,29,14,27,87,27,1085,7218,38,59
"1151",150.5,497.5,10843,3721,29,28,32,105,31,1094,7303,28,60
"1152",151.5,497.5,11079,3640,39,24,29,91,22,1083,7197,36,59
"1153",152.5,497.5,11132,3758,31,26,25,89,21,1084,7072,43,61
"1154",153.5,497.5,10331,3549,37,23,18,114,22,1138,7453,30,58
"1157",156.5,497.5,11017,3165,32,32,35,23,25,122,1162,26,51
"1158",157.5,497.5,10727,3077,26,25,30,84,24,1390,6863,45,50
"1159",158.5,497.5,10733,3349,36,13,27,88,27,1137,6483,25,54
"1167",166.5,497.5,10645,3484,26,33,48,105,32,1130,7296,27,57
"1168",167.5,497.5,10889,3384,29,20,32,95,28,1169,7464,35,55
"1169",168.5,497.5,10479,3175,29,20,45,83,25,1197,7327,51,52
"1218",217.5,497.5,9105,3015,18,31,28,100,17,937,5789,26,49
"1219",218.5,497.5,10725,3525,24,27,21,92,16,1175,7333,35,57
"1220",219.5,497.5,10724,3478,22,24,28,91,34,1124,7414,30,56
"1221",220.5,497.5,10842,3461,21,16,28,100,20,1201,7182,28,56
"1222",221.5,497.5,10344,3283,39,17,31,83,22,1137,7058,23,53
"1223",222.5,497.5,10655,3318,15,21,26,97,29,1262,7280,37,54
"1224",223.5,497.5,10767,3353,31,28,43,93,24,1182,7319,28,54
"1225",224.5,497.5,10764,3422,27,26,30,94,17,1169,7286,30,56
"1226",225.5,497.5,10799,3519,30,18,39,111,26,1107,7245,39,57
"1265",264.5,497.5,12446,5204,41,29,14,98,21,325,6052,30,84
"1266",265.5,497.5,11006,3918,42,23,43,101,25,829,7131,30,63
"1294",293.5,497.5,10831,3405,21,26,25,95,18,1222,7436,24,55
"1336",335.5,497.5,10530,4213,28,28,25,88,16,509,5925,40,68
"1337",336.5,497.5,10962,4439,30,23,20,97,31,527,6154,41,72
"1347",346.5,497.5,10443,3286,35,29,34,113,12,1339,7256,46,53
"1348",347.5,497.5,10643,3371,33,19,28,110,18,1283,7234,43,55
"1349",348.5,497.5,10663,3355,29,25,26,101,19,1221,7231,34,54
"1350",349.5,497.5,10641,3274,27,21,33,100,20,1285,7325,30,53
"1351",350.5,497.5,10534,3276,23,24,44,92,22,1228,7280,26,53
"1352",351.5,497.5,10890,3463,25,15,32,112,25,1222,7227,30,56
"1571",70.5,496.5,9973,3160,32,24,25,107,18,1158,7339,30,51
"1572",71.5,496.5,10793,3285,35,27,31,105,20,1227,7472,35,53
"1573",72.5,496.5,10817,3359,34,19,36,100,15,1211,7504,34,55
"1574",73.5,496.5,10592,3315,35,30,43,104,21,1246,7336,38,54
"1575",74.5,496.5,10779,3326,20,25,30,104,19,1248,7396,31,54
"1576",75.5,496.5,11000,3355,21,20,31,92,29,1237,7411,38,54
"1577",76.5,496.5,10729,3265,29,22,25,78,16,1319,7544,36,53
"1578",77.5,496.5,10819,3495,35,18,24,100,28,1169,7389,33,57
"1579",78.5,496.5,11015,3564,33,26,27,109,25,1087,7273,29,58
"1580",79.5,496.5,11177,3502,28,22,26,83,33,1111,7244,34,57
"1581",80.5,496.5,10733,3349,26,32,31,102,17,1207,7304,36,54
"1582",81.5,496.5,10655,3427,20,25,31,120,23,1202,7256,35,56
"1583",82.5,496.5,10826,3702,24,27,26,97,25,1074,7234,38,60
"1584",83.5,496.5,11177,3672,20,30,32,89,30,1039,7061,35,60
"1585",84.5,496.5,10797,3521,30,13,33,73,21,1204,7256,35,57
"1586",85.5,496.5,10778,3443,39,19,23,99,31,1156,7314,33,56
"1596",95.5,496.5,11397,4114,35,30,33,100,19,833,6964,34,67
"1597",96.5,496.5,10828,3636,27,32,36,118,21,1044,7115,27,59
"1598",97.5,496.5,10823,3539,25,24,27,119,26,1099,7191,38,57
"1599",98.5,496.5,10909,3415,31,19,27,109,19,1065,7093,40,55
"1600",99.5,496.5,10443,3496,28,25,25,104,28,1106,7275,35,57
"1601",100.5,496.5,11023,3382,27,21,28,108,20,1127,7218,38,55
"1602",101.5,496.5,10759,3444,33,21,31,83,24,1199,7391,48,56
"1603",102.5,496.5,10927,3352,25,22,28,117,30,1200,7375,33,54
"1604",103.5,496.5,10781,3360,25,23,26,81,28,1268,7399,37,55
"1605",104.5,496.5,10561,3333,24,28,22,97,24,1244,7390,35,54
"1608",107.5,496.5,10665,3231,24,19,37,110,18,1295,7212,28,52
"1609",108.5,496.5,9682,2949,34,23,24,86,21,1163,6489,38,48
"1644",143.5,496.5,9462,2977,24,17,39,112,25,1063,6608,38,48
"1645",144.5,496.5,10600,3454,32,35,31,90,25,1156,7507,40,56
"1646",145.5,496.5,10756,3549,34,19,21,113,25,1229,7376,33,58
"1647",146.5,496.5,11184,3631,26,23,26,98,15,1080,7208,39,59
"1648",147.5,496.5,11107,3774,22,18,30,104,23,1065,7235,34,61
"1649",148.5,496.5,11143,3611,19,29,29,86,23,1108,7164,43,59
"1650",149.5,496.5,10964,3573,31,25,37,86,24,1122,7080,36,58
"1651",150.5,496.5,11044,3568,27,20,32,100,19,1112,7291,38,58
"1652",151.5,496.5,10946,3560,30,22,22,102,19,1165,7281,32,58
"1653",152.5,496.5,10911,3472,45,32,24,105,20,1073,7282,42,56
"1654",153.5,496.5,9703,3447,27,23,17,102,22,1163,7338,44,56
"1655",154.5,496.5,11191,3334,36,32,31,62,24,958,5811,28,54
"1656",155.5,496.5,9902,3427,20,27,30,99,20,1176,7016,31,56
"1657",156.5,496.5,9860,3131,33,21,36,90,24,1060,6894,35,51
"1658",157.5,496.5,10258,3600,33,23,28,104,19,1093,7084,29,58
"1659",158.5,496.5,10569,3265,35,20,35,110,24,1439,7629,31,53
"1661",160.5,496.5,9143,2932,28,81,29,187,26,1014,7192,37,48
"1668",167.5,496.5,10733,3454,25,25,37,100,28,1039,7104,34,56
"1672",171.5,496.5,9580,3492,27,28,49,90,16,649,6181,39,57
"1718",217.5,496.5,10717,3502,22,21,32,104,20,1189,7292,31,57
"1719",218.5,496.5,10892,3562,21,27,31,90,25,1152,7371,29,58
"1720",219.5,496.5,10732,3488,26,17,38,120,15,1205,7232,42,57
"1721",220.5,496.5,10638,3308,32,25,28,117,27,1188,7275,35,54
"1722",221.5,496.5,10751,3440,30,26,31,118,21,1258,7244,33,56
"1723",222.5,496.5,9644,3219,22,26,36,82,32,1103,6596,47,52
"1724",223.5,496.5,10688,3391,32,24,39,101,23,1225,7319,40,55
"1725",224.5,496.5,10107,3349,31,14,26,85,22,920,6056,32,54
"1726",225.5,496.5,10722,3357,25,21,33,110,19,1163,7280,34,55
"1765",264.5,496.5,13000,5478,31,20,18,116,20,221,5986,37,88
"1769",268.5,496.5,9605,3190,22,17,38,95,18,1045,6938,33,52
"1847",346.5,496.5,10016,3268,40,32,33,94,24,1315,7455,32,53
"1848",347.5,496.5,10846,3319,28,27,31,93,20,1293,7332,40,54
"1849",348.5,496.5,10522,3267,28,28,28,95,26,1276,7223,24,53
"1850",349.5,496.5,10451,3345,18,23,35,89,27,1323,7339,42,54
"1851",350.5,496.5,10445,3397,30,15,28,81,28,1133,7097,34,55
"2072",71.5,495.5,10820,3454,27,37,31,102,30,1238,7386,27,56
"2073",72.5,495.5,10622,3347,27,27,29,105,24,1281,7382,37,54
"2074",73.5,495.5,10855,3251,35,27,20,99,16,1172,7430,45,53
"2075",74.5,495.5,10724,3420,34,25,26,84,26,1242,7425,32,56
"2076",75.5,495.5,10677,3413,31,27,39,82,21,1206,7322,47,55
"2077",76.5,495.5,10729,3213,27,26,30,102,19,1253,7554,34,52
"2078",77.5,495.5,10925,3573,25,27,37,84,11,1125,7416,30,58
"2079",78.5,495.5,10998,3540,28,23,29,94,22,1186,7188,47,57
"2080",79.5,495.5,10965,3540,33,15,25,118,27,1189,7211,36,57
"2081",80.5,495.5,10854,3468,32,24,28,111,25,1196,7443,32,56
"2082",81.5,495.5,10753,3414,29,26,39,95,22,1184,7476,38,55
"2083",82.5,495.5,10930,3543,28,30,30,100,25,1233,7275,31,57
"2084",83.5,495.5,11041,3534,25,13,34,102,23,1136,7418,27,57
"2085",84.5,495.5,10982,3439,25,25,39,102,21,1208,7349,33,56
"2094",93.5,495.5,10886,3981,32,22,13,103,29,765,6494,24,64
"2095",94.5,495.5,11156,3708,32,22,28,94,15,1013,7062,28,60
"2096",95.5,495.5,10998,3599,27,15,29,107,27,1144,7432,38,58
"2097",96.5,495.5,10780,3412,28,34,39,110,21,1164,7346,31,55
"2098",97.5,495.5,10681,3474,25,28,26,98,19,1229,7342,39,56
"2099",98.5,495.5,10729,3442,35,20,21,110,26,1189,7354,41,56
"2101",100.5,495.5,9908,3187,24,25,37,104,22,1174,7195,30,52
"2102",101.5,495.5,10540,3246,24,35,26,98,13,1230,7590,40,53
"2103",102.5,495.5,10692,3301,33,26,40,95,25,1249,7433,39,54
"2104",103.5,495.5,10479,3266,41,18,34,95,22,1261,7160,39,53
"2105",104.5,495.5,10564,3527,29,21,25,95,31,1216,7411,37,57
"2144",143.5,495.5,10033,3242,38,27,28,102,27,1143,7193,37,53
"2145",144.5,495.5,10819,3396,34,26,26,102,23,1224,7330,42,55
"2146",145.5,495.5,10930,3425,18,21,24,90,23,1156,7441,31,56
"2147",146.5,495.5,10926,3427,38,19,22,95,29,1098,7213,33,56
"2148",147.5,495.5,11060,3641,20,22,26,94,17,1112,7144,30,59
"2149",148.5,495.5,11140,3646,15,22,34,121,27,1100,7177,30,59
"2150",149.5,495.5,10748,3349,38,22,21,112,28,1267,7313,28,54
"2151",150.5,495.5,10913,3484,29,22,25,105,22,1165,7299,42,57
"2152",151.5,495.5,10834,3416,27,27,28,102,19,1212,7510,35,55
"2153",152.5,495.5,10632,3345,33,21,30,106,28,1255,7380,40,54
"2154",153.5,495.5,10849,3429,22,17,28,107,24,1240,7279,40,56
"2155",154.5,495.5,10976,3297,24,20,26,97,29,1188,7338,37,54
"2156",155.5,495.5,10320,3195,22,37,31,33,28,583,2014,34,52
"2157",156.5,495.5,9826,3171,24,25,29,117,16,1230,7099,45,52
"2158",157.5,495.5,10493,3348,17,29,22,96,17,1251,7300,28,54
"2159",158.5,495.5,10553,3257,30,17,27,88,22,1375,7551,45,53
"2160",159.5,495.5,10687,3275,31,24,29,107,19,1317,7606,29,53
"2161",160.5,495.5,10691,3309,22,24,38,91,31,1339,7330,29,54
"2168",167.5,495.5,10833,3292,22,24,29,96,16,1006,6424,38,53
"2218",217.5,495.5,10243,3500,18,21,36,105,15,1189,7373,40,57
"2219",218.5,495.5,10926,3501,26,19,32,96,23,1171,7356,39,57
"2220",219.5,495.5,10799,3555,32,19,21,105,30,1147,7285,30,58
"2221",220.5,495.5,10653,3360,29,21,27,100,28,1242,7189,32,55
"2222",221.5,495.5,10840,3324,29,30,19,90,17,1223,7391,38,54
"2223",222.5,495.5,10649,3200,25,25,22,101,34,1089,6741,25,52
"2224",223.5,495.5,10724,3371,44,26,25,88,31,1203,7290,31,55
"2225",224.5,495.5,10657,3271,34,19,33,108,19,1202,7431,33,53
"2226",225.5,495.5,10744,3457,32,18,29,113,21,1194,7148,43,56
"2350",349.5,495.5,9479,3016,26,21,30,93,29,1019,6471,24,49
"2573",72.5,494.5,10565,3280,22,26,35,100,19,1271,7415,30,53
"2574",73.5,494.5,10842,3445,32,21,28,107,23,1187,7426,37,56
"2575",74.5,494.5,10680,3373,28,27,24,84,20,1297,7422,31,55
"2576",75.5,494.5,10932,3367,20,21,37,95,22,1165,7371,46,55
"2577",76.5,494.5,10737,3414,37,15,28,92,28,1273,7303,29,55
"2578",77.5,494.5,10869,3481,32,27,35,106,19,1230,7443,42,56
"2579",78.5,494.5,10842,3337,30,29,27,92,21,1309,7230,31,54
"2580",79.5,494.5,10711,3489,29,27,26,93,23,1183,7333,28,57
"2581",80.5,494.5,10921,3596,26,31,24,103,25,1180,7206,36,58
"2582",81.5,494.5,10982,3718,20,20,20,102,16,1102,7355,35,60
"2583",82.5,494.5,11084,3560,23,29,29,102,20,1117,7314,29,58
"2584",83.5,494.5,10966,3706,23,20,29,77,26,1097,7192,39,60
"2585",84.5,494.5,10619,3277,22,25,22,109,16,1117,6972,22,53
"2594",93.5,494.5,10922,3450,32,25,26,107,21,1140,7292,35,56
"2595",94.5,494.5,10890,3467,30,21,34,101,27,1164,7378,36,56
"2596",95.5,494.5,10661,3382,29,17,22,111,23,1154,7330,29,55
"2597",96.5,494.5,10794,3392,36,26,27,111,20,1253,7293,30,55
"2598",97.5,494.5,10700,3377,23,20,34,114,28,1186,7315,35,55
"2599",98.5,494.5,10589,3312,24,19,26,105,25,1207,7480,36,54
"2600",99.5,494.5,10492,3340,28,26,30,87,31,1273,7333,31,54
"2602",101.5,494.5,10792,3259,21,19,32,92,14,1189,7255,41,53
"2603",102.5,494.5,10137,3214,27,24,30,104,25,1175,7139,36,52
"2604",103.5,494.5,9698,3168,31,25,29,87,19,1159,6949,32,51
"2644",143.5,494.5,10607,3198,28,22,28,112,24,1262,7538,36,52
"2645",144.5,494.5,10859,3447,19,26,35,82,17,1255,7420,30,56
"2646",145.5,494.5,10927,3433,41,25,25,110,32,1251,7377,27,56
"2647",146.5,494.5,10825,3379,25,22,28,116,20,1147,7243,42,55
"2648",147.5,494.5,10715,3341,29,13,24,95,22,1198,7369,35,54
"2649",148.5,494.5,10802,3358,32,21,47,100,19,1194,7341,37,55
"2650",149.5,494.5,10747,3414,40,24,41,97,23,1219,7334,30,55
"2651",150.5,494.5,10929,3537,38,28,28,111,25,1146,7379,35,57
"2652",151.5,494.5,10777,3485,32,26,34,95,21,1229,7302,29,57
"2653",152.5,494.5,10882,3495,22,22,33,85,13,1168,7283,29,57
"2654",153.5,494.5,10855,3500,24,20,31,108,15,1157,7232,26,57
"2655",154.5,494.5,10830,3377,31,27,24,93,25,1184,7169,30,55
"2656",155.5,494.5,10852,3356,27,25,26,93,24,1211,7057,30,54
"2657",156.5,494.5,11064,3236,36,28,38,97,16,1446,7228,39,53
"2658",157.5,494.5,10606,3200,26,29,26,92,24,1285,7427,38,52
"2659",158.5,494.5,10814,3417,27,19,33,115,20,1220,7431,36,55
"2660",159.5,494.5,10749,3334,33,27,35,95,17,1205,7273,35,54
"2661",160.5,494.5,10729,3374,31,21,32,98,27,1249,7361,31,55
"2662",161.5,494.5,10943,3501,37,27,21,117,18,1215,7372,28,57
"2663",162.5,494.5,9086,2803,22,72,29,169,31,1004,7336,40,46
"2718",217.5,494.5,10336,3279,21,32,46,87,22,1187,7453,32,53
"2719",218.5,494.5,10942,3659,19,15,18,106,15,1054,7271,35,59
"2720",219.5,494.5,10830,3685,37,35,22,110,25,1104,7175,37,60
"2721",220.5,494.5,10938,3561,28,15,34,104,22,1131,7323,33,58
"2722",221.5,494.5,10875,3447,32,24,34,115,18,1206,7153,37,56
"2723",222.5,494.5,10456,3291,29,33,21,85,15,1088,6915,34,53
"2724",223.5,494.5,11102,3537,29,22,23,102,18,1144,7209,41,57
"2725",224.5,494.5,10547,3476,11,23,36,116,23,1220,7362,32,56
"2726",225.5,494.5,10640,3327,31,26,32,81,15,1167,7174,28,54
"2774",273.5,494.5,11423,4094,27,23,27,104,18,946,6757,32,66
"2842",341.5,494.5,10907,3581,33,28,35,86,22,1037,6536,37,58
"2843",342.5,494.5,11180,3836,37,27,25,112,22,1018,7097,34,62
"3073",72.5,493.5,10379,3249,28,17,40,109,15,1198,7531,36,53
"3074",73.5,493.5,10637,3301,30,21,31,100,28,1253,7448,35,54
"3075",74.5,493.5,10620,3349,30,20,41,101,29,1252,7381,27,54
"3076",75.5,493.5,10714,3347,27,18,32,97,28,1235,7392,42,54
"3077",76.5,493.5,10795,3343,34,23,37,100,22,1250,7370,47,54
"3078",77.5,493.5,10698,3255,17,28,26,91,25,1286,7512,33,53
"3079",78.5,493.5,10856,3481,28,19,25,87,24,1182,7415,29,56
"3080",79.5,493.5,10727,3538,27,20,27,108,20,1208,7348,28,57
"3081",80.5,493.5,10909,3548,32,24,25,108,25,1213,7399,40,58
"3082",81.5,493.5,10921,3426,21,22,30,104,32,1103,7465,30,56
"3083",82.5,493.5,10903,3383,28,22,34,93,28,1256,7301,34,55
"3084",83.5,493.5,10466,3292,34,21,26,102,12,1236,7355,36,53
"3093",92.5,493.5,10591,3398,37,27,33,94,26,1248,7517,46,55
"3094",93.5,493.5,10727,3391,26,15,33,109,20,1194,7337,39,55
"3095",94.5,493.5,10854,3472,30,26,26,97,12,1220,7359,35,56
"3096",95.5,493.5,10720,3458,25,19,29,101,17,1233,7383,41,56
"3097",96.5,493.5,10646,3437,26,27,26,87,22,1262,7318,43,56
"3098",97.5,493.5,10560,3342,28,19,31,87,25,1251,7438,31,54
"3099",98.5,493.5,10660,3227,30,20,34,96,20,1300,7310,34,52
"3100",99.5,493.5,10530,3435,31,17,21,96,23,1220,7175,33,56
