"","x","y","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"51318",67.5,44.5,4969,5920,17,74,34,34,0,68,5453,22,92
"51319",68.5,44.5,5045,5857,14,66,40,29,3,73,5727,21,91
"51320",69.5,44.5,4618,5632,11,121,52,52,3,60,5551,19,88
"51322",71.5,44.5,5019,5762,11,86,39,25,2,65,5696,13,89
"51323",72.5,44.5,4798,5721,11,104,44,43,3,102,5558,22,89
"51324",73.5,44.5,4917,5708,16,82,42,42,5,100,5827,20,89
"51325",74.5,44.5,4812,5898,12,67,29,45,3,85,5621,13,91
"51326",75.5,44.5,5031,5897,18,68,45,29,1,67,5406,20,91
"51328",77.5,44.5,5022,5733,16,70,40,42,2,62,5669,18,89
"51329",78.5,44.5,5108,5990,12,60,31,34,4,60,5604,31,93
"51330",79.5,44.5,5118,5987,7,65,42,39,1,54,5496,19,93
"51331",80.5,44.5,4949,5849,7,90,43,29,3,63,5638,12,91
"51334",83.5,44.5,4701,5709,12,94,36,39,5,82,5418,15,89
"51335",84.5,44.5,4830,5579,15,115,55,38,4,86,5647,25,87
"51337",86.5,44.5,5064,5845,13,63,35,35,1,52,5493,24,91
"51338",87.5,44.5,5006,5787,16,77,34,40,3,85,5649,25,90
"51339",88.5,44.5,4974,5593,25,84,42,24,1,86,5693,15,87
"51340",89.5,44.5,4950,5812,7,92,43,41,4,77,5569,21,90
"51379",128.5,44.5,4913,5822,10,104,57,43,5,79,5727,28,90
"51380",129.5,44.5,4867,5821,11,68,42,35,0,83,5740,19,90
"51381",130.5,44.5,4840,5566,10,69,42,34,2,130,5854,15,87
"51382",131.5,44.5,4767,5360,4,72,41,32,2,114,5817,25,84
"51383",132.5,44.5,4874,5552,16,61,39,30,0,113,5635,24,86
"51384",133.5,44.5,4921,5504,12,77,39,43,1,90,5812,20,86
"51385",134.5,44.5,4786,5524,11,108,46,30,3,117,5833,21,86
"51386",135.5,44.5,4875,5516,11,80,32,30,3,99,5668,16,86
"51387",136.5,44.5,4785,5527,8,87,42,33,1,122,5766,23,86
"51565",64.5,43.5,4950,5940,14,58,38,46,5,66,5573,23,92
