"","x","y","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"20849",98.5,166.5,4848,5467,13,85,37,35,4,101,5542,12,88
"20850",99.5,166.5,4812,5492,9,82,32,37,4,105,5766,18,88
"20851",100.5,166.5,4760,5450,9,106,46,33,1,141,5711,15,87
"20852",101.5,166.5,4783,5496,11,57,35,24,7,74,5398,33,88
"20853",102.5,166.5,4985,5732,11,66,36,33,0,56,5465,20,91
"20854",103.5,166.5,5029,5823,8,75,33,29,2,71,5592,17,93
"20855",104.5,166.5,5017,5795,10,76,44,38,5,63,5604,17,92
"20856",105.5,166.5,4910,5924,9,65,45,31,2,59,5479,21,94
"20857",106.5,166.5,4933,5733,11,58,29,28,4,55,5468,25,91
"20858",107.5,166.5,4872,5096,5,59,38,28,4,85,5057,23,82
"20859",108.5,166.5,4725,5711,16,71,30,34,2,70,5475,23,91
"20860",109.5,166.5,5039,5646,12,65,45,30,2,52,5411,13,90
"20861",110.5,166.5,5073,5808,15,75,24,29,4,60,5416,19,92
"20862",111.5,166.5,4824,5668,16,64,28,35,1,65,5471,15,90
"20863",112.5,166.5,5079,5725,4,71,39,23,4,62,5565,16,91
"20864",113.5,166.5,4950,5794,11,66,37,32,4,65,5511,12,92
"20865",114.5,166.5,4880,5847,15,68,30,24,7,69,5624,18,93
"20866",115.5,166.5,4977,5933,8,77,28,31,1,47,5365,16,94
"20867",116.5,166.5,4850,5891,12,62,35,31,4,52,5485,14,94
"20868",117.5,166.5,4992,5820,9,67,33,28,4,41,5497,9,93
"20869",118.5,166.5,4806,5570,8,76,47,30,4,107,5445,13,89
"20870",119.5,166.5,4768,5377,11,80,37,29,2,105,5719,24,86
"20871",120.5,166.5,4673,5025,10,88,48,45,5,106,5551,21,81
"21003",2.5,165.5,4634,4834,9,75,50,32,2,159,5949,19,79
"21006",5.5,165.5,4429,4859,15,217,64,63,3,142,5910,48,79
"21015",14.5,165.5,5132,5743,8,71,41,30,3,56,5482,21,92
"21016",15.5,165.5,5035,5763,7,68,36,32,6,66,5409,13,92
"21017",16.5,165.5,4995,5693,15,68,40,36,4,72,5554,18,91
"21018",17.5,165.5,4871,5427,11,67,35,29,2,101,5616,30,87
"21020",19.5,165.5,4496,5219,4,141,42,48,5,142,5839,42,84
"21021",20.5,165.5,4863,5712,10,69,37,35,3,62,5582,17,91
"21022",21.5,165.5,5021,5791,16,80,37,32,3,59,5421,18,92
"21023",22.5,165.5,5012,5697,14,73,38,26,4,88,5669,22,91
"21024",23.5,165.5,4960,5855,13,84,32,32,2,55,5332,20,93
"21025",24.5,165.5,5141,5849,14,90,29,32,3,61,5534,20,93
"21026",25.5,165.5,5007,5879,5,72,39,36,3,55,5346,16,93
"21060",59.5,165.5,4537,5238,11,233,43,99,4,110,5748,23,84
"21061",60.5,165.5,4766,5322,7,77,34,35,1,115,5867,19,86
"21063",62.5,165.5,4729,5665,12,96,42,41,2,76,5668,18,90
"21065",64.5,165.5,4850,4988,16,107,45,36,2,108,5705,17,81
"21066",65.5,165.5,4978,5804,13,92,33,36,3,61,5490,17,92
"21067",66.5,165.5,4991,5518,9,104,28,43,3,91,5499,16,88
"21099",98.5,165.5,4790,5364,8,93,41,39,2,95,5760,19,86
"21101",100.5,165.5,4796,5523,15,94,37,27,1,79,5630,22,88
"21102",101.5,165.5,5066,5616,17,64,42,33,5,48,5529,16,90
"21103",102.5,165.5,4902,5822,9,64,29,32,4,54,5360,18,93
"21104",103.5,165.5,4931,5721,10,80,40,37,3,65,5434,23,91
"21105",104.5,165.5,4993,5704,14,58,32,30,2,55,5477,19,91
"21106",105.5,165.5,4774,4828,13,107,48,89,3,91,5469,36,79
"21108",107.5,165.5,5087,5838,10,68,36,20,0,64,5442,23,93
"21109",108.5,165.5,4950,5980,14,51,38,21,4,50,5379,19,95
"21110",109.5,165.5,5133,5831,9,67,32,27,0,45,5529,16,93
"21111",110.5,165.5,4967,5777,12,77,45,30,7,52,5415,21,92
"21112",111.5,165.5,4982,5827,13,56,25,41,0,75,5448,18,93
"21113",112.5,165.5,5094,5841,17,62,44,38,2,64,5561,13,93
"21114",113.5,165.5,4968,5802,7,71,31,35,2,72,5582,18,92
"21115",114.5,165.5,4874,5771,14,70,26,30,1,66,5535,19,92
"21116",115.5,165.5,4985,5883,10,76,38,30,1,63,5433,22,94
"21117",116.5,165.5,5127,5778,12,77,42,25,2,47,5451,16,92
"21118",117.5,165.5,5060,5790,9,72,35,35,6,57,5439,31,92
"21119",118.5,165.5,4803,5502,9,61,28,37,1,99,5686,13,88
"21120",119.5,165.5,4732,5454,15,81,22,32,4,110,5711,23,87
"21121",120.5,165.5,4807,5274,9,78,35,33,4,113,5721,23,85
"21142",141.5,165.5,4627,5260,20,174,31,70,3,101,5835,26,85
"21264",13.5,164.5,5037,5724,5,64,28,25,2,80,5417,16,91
"21265",14.5,164.5,5009,5813,15,81,34,40,2,60,5465,12,93
"21266",15.5,164.5,4909,5689,15,77,43,26,2,68,5440,27,91
"21267",16.5,164.5,4955,5687,10,67,43,22,5,69,5577,16,91
"21268",17.5,164.5,4624,5635,13,230,47,114,1,78,5743,33,90
"21269",18.5,164.5,4942,5703,12,72,34,35,3,75,5563,22,91
"21270",19.5,164.5,4888,5541,11,72,41,32,2,75,5564,21,89
"21271",20.5,164.5,5045,5843,15,86,32,32,6,64,5505,19,93
"21272",21.5,164.5,5055,5802,8,77,32,39,0,75,5508,16,92
"21273",22.5,164.5,5052,5748,15,81,38,40,3,61,5537,22,92
"21274",23.5,164.5,5025,5669,17,74,27,27,2,64,5490,14,90
"21275",24.5,164.5,4961,5740,12,65,35,36,1,57,5477,13,92
"21276",25.5,164.5,5025,5729,11,83,35,32,2,56,5564,15,91
"21310",59.5,164.5,4996,4645,10,98,47,32,4,65,4746,18,76
"21311",60.5,164.5,4837,5419,14,93,45,39,2,86,5625,17,87
"21312",61.5,164.5,4838,4641,10,94,73,62,1,121,5608,21,76
"21313",62.5,164.5,4862,5555,9,80,41,34,2,82,5474,14,89
"21317",66.5,164.5,4989,5495,13,87,52,33,0,72,5567,15,88
