"","x","y","N","Al","Ca","Cr","Fe","K","Mg","Mn","Na","Si","Ti","An"
"3143",142.5,493.5,2,5294,3912,4,37,20,32,14,442,6311,57,79.8281584083179
"3144",143.5,493.5,2,5188,3966,6,41,16,53,11,408,6447,42,80.922228336534
"3145",144.5,493.5,2,5209,3792,1,34,22,43,7,573,6607,40,77.396891901171
"3146",145.5,493.5,2,5196,3757,7,38,15,38,5,612,6534,37,76.6877725032531
"3148",147.5,493.5,2,5144,3871,6,43,19,37,6,486,6405,47,78.9974756850427
"3165",164.5,493.5,2,5278,3920,9,46,28,42,8,504,6433,37,79.9902428421277
"3166",165.5,493.5,2,5215,4046,3,56,19,45,8,441,6257,44,82.543072674632
"3167",166.5,493.5,2,5350,3941,6,46,18,44,9,438,6350,40,80.4157144808784
"3169",168.5,493.5,2,5119,3956,1,42,21,37,9,468,6352,56,80.7196227942718
"3170",169.5,493.5,2,5316,4091,3,44,20,39,10,469,6417,52,83.4547976148121
"3181",180.5,493.5,2,5252,3990,2,45,18,44,6,410,6358,60,81.4084816379634
"3182",181.5,493.5,2,5408,4183,3,45,15,37,7,452,6510,53,85.3187686036247
"3183",182.5,493.5,2,5291,4052,5,52,22,41,6,467,6430,53,82.6646359999893
"3184",183.5,493.5,2,5228,3946,6,43,10,45,9,510,6448,47,80.5170172520096
"3186",185.5,493.5,2,5334,4027,3,48,17,45,10,433,6429,53,82.1581221443337
"3187",186.5,493.5,2,5199,3941,5,42,32,37,10,430,6551,39,80.4157144808784
"3188",187.5,493.5,2,5389,3974,7,43,13,46,7,465,6372,52,81.0843127703438
"3459",458.5,493.5,2,5200,4053,6,46,20,43,7,502,6563,43,82.6848965542156
"3460",459.5,493.5,2,5255,3896,3,41,21,49,3,510,6415,56,79.5039895406983
"3461",460.5,493.5,2,5163,4117,5,45,11,46,7,434,6334,47,83.9815720246939
"3462",461.5,493.5,2,5022,3741,4,48,28,65,8,550,6607,52,76.3636036356336
"3641",140.5,492.5,2,4958,3763,4,54,37,69,11,540,6581,57,76.8093358286105
"3646",145.5,492.5,2,5054,3767,4,44,24,54,4,652,6622,45,76.8903780455154
"3647",146.5,492.5,2,5169,3799,6,45,18,35,8,562,6505,42,77.5387157807546
"3648",147.5,492.5,2,5454,4055,5,33,24,45,6,446,6509,41,82.725417662668
"3649",148.5,492.5,2,5154,4031,5,45,23,37,6,452,6513,40,82.2391643612386
"3650",149.5,492.5,2,5202,4025,3,52,27,52,5,474,6533,55,82.1176010358813
"3665",164.5,492.5,2,5416,4102,5,40,22,48,5,480,6407,50,83.6776637113006
"3666",165.5,492.5,2,5254,4054,5,46,14,37,10,466,6337,71,82.7051571084418
"3667",166.5,492.5,2,5048,3969,10,52,21,45,5,473,6334,56,80.9830099992127
"3668",167.5,492.5,2,5077,3937,3,40,16,36,3,521,6328,51,80.3346722639735
"3669",168.5,492.5,2,5221,3939,2,41,15,33,10,500,6347,41,80.375193372426
"3670",169.5,492.5,2,5155,4025,6,48,20,40,11,503,6446,42,82.1176010358813
"3682",181.5,492.5,2,5212,4033,3,42,20,34,5,434,6454,51,82.2796854696911
"3683",182.5,492.5,2,5371,4163,9,40,19,40,8,447,6407,51,84.9135575191003
"3684",183.5,492.5,2,5343,4157,9,39,22,43,7,450,6335,49,84.7919941937429
"3685",184.5,492.5,2,5340,3991,4,53,20,42,9,475,6340,58,81.4287421921896
"3687",186.5,492.5,2,5237,3846,4,42,18,49,7,567,6559,55,78.4909618293871
"3688",187.5,492.5,2,5238,4038,6,35,18,44,5,450,6435,54,82.3809882408222
"3789",288.5,492.5,2,5160,3929,5,51,20,50,3,471,6436,51,80.1725878301637
"3958",457.5,492.5,2,5103,3931,6,46,21,50,9,534,6376,47,80.2131089386162
"3959",458.5,492.5,2,5315,3980,7,47,21,39,9,438,6453,41,81.2058760957012
"3960",459.5,492.5,2,5244,3976,4,35,14,32,9,471,6528,42,81.1248338787963
"3961",460.5,492.5,2,5290,3939,3,50,19,33,7,506,6566,50,80.375193372426
"4136",135.5,491.5,2,5227,4073,9,35,20,45,10,461,6374,61,83.09010763874
"4137",136.5,491.5,2,5339,3997,9,36,22,44,9,435,6419,45,81.550305517547
"4141",140.5,491.5,2,5170,4071,5,26,24,50,11,461,6554,48,83.0495865302876
"4142",141.5,491.5,2,5117,3815,4,42,20,37,8,456,6422,46,77.8628846483741
"4143",142.5,491.5,2,5148,4071,5,33,22,52,7,455,6199,57,83.0495865302876
"4144",143.5,491.5,2,5155,3980,5,44,20,48,2,536,6434,56,81.2058760957012
"4145",144.5,491.5,2,5201,4122,5,42,27,46,8,451,6463,65,84.082874795825
"4150",149.5,491.5,2,4996,3908,7,42,21,57,11,427,6382,35,79.747116191413
"4165",164.5,491.5,2,5264,4099,4,55,22,48,9,446,6569,57,83.6168820486219
"4166",165.5,491.5,2,5240,4031,5,48,23,47,6,466,6439,44,82.2391643612386
"4167",166.5,491.5,2,5032,3958,4,43,23,33,2,548,6517,54,80.7601439027242
"4168",167.5,491.5,2,5132,3850,6,33,30,43,10,519,6429,48,78.572004046292
"4169",168.5,491.5,2,5070,3805,9,51,21,45,11,593,6469,43,77.6602791061119
"4170",169.5,491.5,2,5292,3961,4,57,28,41,9,473,6506,38,80.8209255654029
"4171",170.5,491.5,2,5159,3981,4,47,18,45,6,465,6471,38,81.2261366499274
"4183",182.5,491.5,2,5211,4236,6,41,23,42,8,452,6373,44,86.3925779776146
"4184",183.5,491.5,2,5230,4010,2,41,18,29,7,443,6377,55,81.8136927224879
"4185",184.5,491.5,2,5099,4021,2,44,15,43,6,441,6231,44,82.0365588189764
"4186",185.5,491.5,2,5324,3982,8,39,20,53,4,466,6398,58,81.2463972041536
"4249",248.5,491.5,2,5273,4028,1,48,25,51,9,500,6529,37,82.17838269856
"4287",286.5,491.5,2,5070,3959,5,38,19,45,7,497,6569,48,80.7804044569505
"4288",287.5,491.5,2,5158,3811,3,37,26,47,7,557,6566,39,77.7818424314693
"4289",288.5,491.5,2,5145,3975,3,52,24,50,8,484,6517,36,81.10457332457
"4458",457.5,491.5,2,4994,3840,5,44,30,41,12,455,6252,49,78.3693985040298
